,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy
311,Hillingdon - Yiewsley,12979.0,72.0,74.9,81.1
312,Havering - Havering Park,13000.0,58.0,75.3,79.0
313,Enfield - Highlands,13006.0,50.7,81.5,90.5
314,Brent - Brondesbury Park,13023.0,67.2,80.3,84.7
315,Camden - Holborn and Covent Garden,13023.0,40.3,75.6,82.8
316,Hounslow - Osterley and Spring Grove,13031.0,86.3,80.0,84.7
317,Greenwich - Coldharbour and New Eltham,13062.0,75.2,79.0,83.6
318,Redbridge - Goodmayes,13069.0,103.0,79.9,83.2
319,Southwark - Brunswick Park,13174.0,73.3,78.8,90.7
320,Waltham Forest - Higham Hill,13194.0,107.4,75.8,88.0
321,Havering - Squirrel's Heath,13194.0,63.0,81.6,89.5
322,Westminster - Lancaster Gate,13195.0,46.5,93.7,88.1
323,Tower Hamlets - Weavers,13206.0,55.1,78.9,82.2
324,Croydon - Heathfield,13213.0,56.9,84.1,83.7
325,Hackney - Victoria,13231.0,62.9,79.4,86.8
326,Hackney - Chatham,13232.0,63.2,72.5,81.4
327,Redbridge - Clayhall,13241.0,63.8,84.0,85.4
328,Waltham Forest - William Morris,13269.0,102.7,77.5,80.7
329,Haringey - Harringay,13272.0,64.0,78.4,81.8
330,Islington - Tollington,13311.0,46.2,72.4,80.8
331,Ealing - Walpole,13330.0,66.8,79.0,85.5
332,Havering - St. Andrew's,13334.0,65.7,77.1,79.1
333,Tower Hamlets - Mile End East,13354.0,74.3,73.4,78.7
334,Waltham Forest - Wood Street,13368.0,102.1,75.3,83.2
335,Haringey - West Green,13372.0,65.0,75.6,86.2
336,Hammersmith and Fulham - Wormholt and White City,13389.0,70.6,78.1,85.9
337,Hackney - Cazenove,13392.0,116.6,74.4,86.7
338,Enfield - Winchmore Hill,13403.0,68.8,78.5,81.5
339,Newham - Custom House,13411.0,91.8,73.7,77.4
340,Camden - Kentish Town,13417.0,55.2,73.5,78.4
341,Brent - Dollis Hill,13425.0,81.2,79.8,87.5
342,Haringey - White Hart Lane,13431.0,73.0,74.2,79.0
343,Greenwich - Shooters Hill,13433.0,87.2,78.0,86.2
344,Southwark - Surrey Docks,13435.0,57.5,85.5,82.9
345,Ealing - Southall Broadway,13439.0,103.1,81.2,82.4
346,Brent - Fryent,13445.0,94.0,82.2,90.2
347,Croydon - Coulsdon West,13449.0,58.7,80.0,82.8
348,Hillingdon - Barnhill,13449.0,75.1,75.6,82.5
349,Ealing - Southfield,13474.0,74.3,80.7,86.7
350,Greenwich - Middle Park and Sutcliffe,13505.0,75.3,76.8,84.7
351,Ealing - Northfield,13517.0,63.4,84.2,85.2
352,Southwark - Peckham Rye,13518.0,75.6,75.6,81.2
353,Camden - Regent's Park,13528.0,53.5,74.8,83.8
354,Havering - South Hornchurch,13544.0,63.2,76.9,81.8
355,Hounslow - Syon,13554.0,80.3,73.0,79.4
356,Hillingdon - Yeading,13586.0,105.9,78.4,82.4
357,Southwark - Nunhead,13620.0,70.4,71.2,77.3
358,Waltham Forest - Markhouse,13636.0,97.6,75.9,78.0
359,Lambeth - Thurlow Park,13641.0,61.1,76.8,84.0
360,Hackney - De Beauvoir,13643.0,53.7,77.7,81.5
361,Bromley - Petts Wood and Knoll,13651.0,61.4,84.2,88.5
362,Hackney - Queensbridge,13670.0,69.8,75.9,82.6
363,Redbridge - Mayfield,13672.0,111.4,78.1,82.9
364,Tower Hamlets - Bethnal Green North,13683.0,54.5,73.6,78.6
365,Lambeth - Gipsy Hill,13712.0,70.1,77.2,83.0
366,Haringey - Bounds Green,13725.0,61.9,74.2,81.6
367,Southwark - Rotherhithe,13743.0,54.8,76.3,79.2
368,Brent - Welsh Harp,13753.0,85.0,81.2,88.5
369,Enfield - Chase,13762.0,63.5,76.8,80.8
370,Southwark - South Bermondsey,13780.0,60.5,77.2,81.1
371,Enfield - Southgate Green,13787.0,57.8,78.2,85.2
372,Enfield - Cockfosters,13788.0,46.1,81.5,86.8
373,Lambeth - Clapham Town,13795.0,37.9,75.5,81.7
374,Waltham Forest - Cann Hall,13799.0,106.8,77.0,81.3
375,Camden - St. Pancras and Somers Town,13818.0,75.8,75.5,85.3
